Kanji,Reading,Meaning,VocabScore,FillingScore,Level
毎月,まいげつ,every month,0,0,5
毎月,まいつき,every month,0,0,5
太い,ふとい,fat,0,0,5
五日,いつか,"five days, fifth day",0,0,5
出る,でる,"to appear,to leave",0,0,5
話,はなし,"talk,story",0,0,5
写真,しゃしん,photograph,0,0,5
大きな,おおきな,big,0,0,5
曇り,くもり,cloudy weather,0,0,5
白い,しろい,White,0,0,5
飲み物,のみもの,a drink,0,0,5
掃除,そうじ,"to clean, to sweep",0,0,5
時間,じかん,Time,0,0,5
昼御飯,ひるごはん,midday meal,0,0,5
店,みせ,shop,0,0,5
火曜日,かようび,Tuesday,0,0,5
誰,だれか,somebody,0,0,5
丈夫,じょうぶ,"strong, durable",0,0,5
先週,せんしゅう,last week,0,0,5
会う,あう,to meet,0,0,5
西,にし,west,0,0,5
狭い,せまい,Narrow,0,0,5
覚える,おぼえる,to remember,0,0,5
入れる,いれる,to put in,0,0,5
道,みち,street,0,0,5
電気,でんき,"electricity,electric light",0,0,5
学生,がくせい,Student,0,0,5
御飯,ごはん,"cooked rice, meal",0,0,5
近い,ちかい,near,0,0,5
昨日,きのう,Yesterday,0,0,5
後,あと,afterwards,0,0,5
作文,さくぶん,"composition, writing",0,0,5
終る,おわる,to finish,0,0,5
お兄さん,おにいさん,(honorable) older brother,0,0,5
目,め,eye,0,0,5
門,もん,gate,0,0,5
読む,よむ,to read,0,0,5
冷たい,つめたい,cold to the touch,0,0,5
地図,ちず,map,0,0,5
学校,がっこう,School,0,0,5
煩い,うるさい,"noisy, annoying",0,0,5
三日,みっか,"three days, third day of the month",0,0,5
大使館,たいしかん,embassy,0,0,5
青い,あおい,blue,0,0,5
駅,えき,station,0,0,5
座る,すわる,to sit,0,0,5
二人,ふたり,two people,0,0,5
来年,らいねん,next year,0,0,5
飛ぶ,とぶ,"to fly,to hop",0,0,5
起きる,おきる,to get up,0,0,5
四,よん,Four,0,0,5
私,わたし,"I,myself",0,0,5
毎晩,まいばん,every night,0,0,5
八,はち,eight,0,0,5
喫茶店,きっさてん,coffee lounge,0,0,5
二つ,ふたつ,two,0,0,5
古い,ふるい,old (not used for people),0,0,5
二日,ふつか,"two days, second day of the month",0,0,5
外国,がいこく,foreign country,0,0,5
庭,にわ,garden,0,0,5
広い,ひろい,"spacious,wide",0,0,5
置く,おく,to put,0,0,5
一緒,いっしょ,together,0,0,5
洗う,あらう,to wash,0,0,5
映画館,えいがかん,cinema,0,0,5
