GroupID,Count,RowNumbers,Kanji,Readings,Meaning,AllKanjiValues
1,2,"2,3",毎月,"まいげつ,まいつき",every month,毎月
2,2,"37,4647",門,"かど,もん",gate,門
3,2,"74,7083",灰皿,"はいさら,はいざら",ashtray,灰皿
4,2,"94,6381",前,"せん,まえ",before,前
5,2,"112,4976",一人,"いちにん,ひとり",one person,一人
6,2,"131,462",行く,"いく,ゆく",to go,行く
7,2,"139,2060",言う,"いう,ゆう",to say,言う
8,2,"153,154",毎年,"まいとし,まいねん",every year,毎年
9,2,"175,2998",一昨年,"いっさくねん,おととし",year before last,一昨年
10,2,"240,7048",黄色,"おうしょく,きいろ",yellow,黄色
11,2,"285,885",明日,"あした,あす",tomorrow,明日
12,2,"297,3777",一昨日,"いっさくじつ,おととい",day before yesterday,一昨日
13,2,"339,1009",夜,"よ,よる","evening,night",夜
14,3,"372,2055,2157",何,"なに,なに,なん",what,何
15,2,"458,4425",弟,"おと,おとうと",younger brother,弟
16,2,"461,5184",南,"なん,みなみ",south,南
17,2,"548,1402",金持ち,かねもち,rich man,金持ち
18,2,"703,5751",木綿,"きわた,もめん",cotton,木綿
19,2,"887,1337",音,"おと,おん","sound,note",音
20,2,"918,2725",下る,"くだる,さがる","to get down,to descend",下る
21,2,"1027,4709",姉妹,"きょうだい,しまい",sisters,姉妹
22,2,"1089,2131",唯,"ただ,たった","free of charge,mere,sole,only,usual,common",唯
23,2,"1113,2366",不,"ふ,ぶ","un,non,negative prefix",不
24,2,"1131,5234",銃,"じゅう,つつ",gun,銃
25,2,"1161,2555",生,"せい,なま","(1) draft (beer),(2) raw,unprocessed",生
26,2,"1185,2575",頬,"ほお,ほほ",cheek (of face),頬
27,2,"1193,1832",描く,"えがく,かく","to draw,to paint,to sketch,to depict,to describe",描く
28,2,"1194,1787",四,"し,よん",four,四
29,2,"1207,4680",国境,"くにざかい,こっきょう",national or state border,国境
30,2,"1238,5671",濠,"ごう,ほり",moat,濠
31,2,"1281,2373",額,"がく,ひたい","forehead,brow",額
32,2,"1330,1873",梅雨,"つゆ,ばいう","rainy season,rain during the rainy season",梅雨
33,2,"1335,1800",軒,"けん,のき",eaves,軒
34,2,"1344,1613",方々,"かたがた,ほうぼう","persons,this and that,here and there,everywhere",方々
35,2,"1403,2406",円,"えん,まる","circle,money",円
36,2,"1460,1650",行き,"いき,ゆき",going,行き
37,2,"1481,1865",為る,"する,なる","to change,to be of use,to reach to",為る
38,2,"1491,5798",灯,"ともしび,ひ",light,灯
39,2,"1498,4848",乗客,"じょうかく,じょうきゃく",passenger,乗客
40,2,"1513,2251",日本,"にっぽん,にほん",Japan,日本
41,2,"1542,6146",身体,"からだ,しんたい",the body,身体
42,3,"1552,2142,2281",後,"うしろ,ご,のち","afterwards,since then,in the future",後
43,2,"1617,2365",数,"かず,すう","number,figure",数
44,2,"1635,2009",他,"た,ほか",other (esp. places and things),他
45,2,"1647,1692",七,"しち,なな",seven,七
46,2,"1651,1841",金,"かね,きん","(1) gold,(2) gold general (shogi) (abbr)",金
47,2,"1663,1844",十,"じゅう,とお","10,ten",十
48,2,"1672,2328",品,"しな,ひん","thing,article,goods,dignity,article (goods),counter for meal courses",品
49,2,"1687,1769",得る,"うる,える","to get,to gain,to win",得る
50,2,"1728,2316",年月,"としつき,ねんげつ",months and years,年月
51,2,"1744,2415",球,"きゅう,たま","globe,sphere,ball",球
52,2,"1756,1822",本当,"ほんと,ほんとう","truth,reality",本当
53,2,"1761,2254",下,"げ,しも","under,below,beneath",下
54,2,"1803,4849",基,"もと,もとい",basis,基
55,2,"1819,2215",上,"かみ,じょう","(1) first volume,(2) superior quality,(3) governmental",上
56,2,"1831,4290",一言,"いちげん,ひとこと",single word,一言
57,2,"1876,2231",綿,"めん,わた","cotton,padding",綿
58,2,"1878,4540",雷,"いかずち,かみなり",thunder,雷
59,2,"1931,2238",無,"ぶ,む","nothing,naught,nil,zero",無
60,2,"2053,4586",解く,"とく,ほどく",to unfasten,解く
61,2,"2140,2464",度,"たび,ど",counter for occurrences,度
62,2,"2235,2517",文字,"もじ,もんじ","letter (of alphabet),character",文字
63,2,"2259,2386",九,"きゅう,く",nine,九
64,2,"2453,6431",明後日,"あさって,みょうごにち",day after tomorrow,明後日
65,2,"2617,3647",紅葉,"こうよう,もみじ",(1) (Japanese) maple,紅葉
66,2,"2877,5329",銅,"あかがね,どう",copper,銅
67,2,"2884,3327",湿気,"しっき,しっけ","moisture,humidity,dampness",湿気
68,2,"3005,6317",剃る,"する,そる",to shave,剃る
69,2,"3308,6205",家主,"いえぬし,やぬし",landlord,家主
70,2,"3446,3616",鈍い,"にぶい,のろい","dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",鈍い
71,2,"3492,4003",留まる,"とどまる,とまる","(1) to be fixed,(2) to abide,to stay (in the one place)",留まる
72,2,"3534,4605",中指,"ちゅうし,なかゆび",middle finger,中指
73,2,"3730,7109",天皇,"すめらぎ,てんのう",Emperor of Japan,天皇
74,2,"4464,4498",彼方此方,"あちこち,あちらこちら",here and there,彼方此方
75,2,"5828,6436",側,"かわ,がわ","side, row, surroundings, part, (watch) case",側
76,3,"5898,6342,6725",堪える,"こたえる,こらえる,たえる","to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",堪える
