GroupID,Count,RowNumbers,Kanji,Readings,Meaning,AllKanjiValues,InstanceRowNumber,InstanceKanji,InstanceReading,InstanceMeaning
1,2,2,毎月,げ,every month (げ),毎月,2,毎月,まいげつ,every month (げ)
1,2,3,毎月,き,every month (げ),毎月,3,毎月,まいつき,every month (き)
2,2,13,掃除,そうじ,"to clean, to sweep",掃除,13,掃除,そうじ,"to clean, to sweep"
2,2,2047,掃除,そうじ,"to clean, to sweep",掃除,2047,掃除,そうじ,"cleaning,sweeping"
3,2,16,店,み,shop,店,16,店,みせ,shop
3,2,6112,店,て,shop,店,6112,店,てん,"store, shop, establishment"
4,3,18,誰,か,somebody,誰,18,誰,だれか,somebody
4,3,183,誰,だれ,somebody,誰,183,誰,だれ,who
4,3,5981,誰,た,somebody,誰,5981,誰,たれ,adjectival suffix for a person
5,2,19,丈夫,ぶ,"strong, durable",丈夫,19,丈夫,じょうぶ,"strong, durable"
5,2,6482,丈夫,ふ,"strong, durable",丈夫,6482,丈夫,じょうふ,"1. hero, gentleman, warrior, manly person, 2. good health, robustness, strong, solid, durable"
6,4,32,後,あ,afterwards,後,32,後,あと,afterwards
6,4,1552,後,う,afterwards,後,1552,後,うしろ,"afterwards,since then,in the future (う)"
6,4,2142,後,ご,afterwards,後,2142,後,ご,"afterwards,since then,in the future (ご)"
6,4,2281,後,の,afterwards,後,2281,後,のち,"afterwards,since then,in the future (の)"
7,2,37,門,も,gate (か),門,37,門,もん,gate (か)
7,2,4647,門,か,gate (か),門,4647,門,かど,gate (も)
8,2,48,二人,ふ,two people,二人,48,二人,ふたり,two people
8,2,6804,二人,に,two people,二人,6804,二人,ににん,"two persons, two people, pair, couple"
9,3,52,四,よん,Four,四,52,四,よん,Four
9,3,1194,四,し,Four,四,1194,四,し,four (し)
9,3,1787,四,よん,Four,四,1787,四,よん,four (よ)
10,3,53,私,わたし,"I,myself",私,53,私,わたし,"I,myself"
10,3,296,私,く,"I,myself",私,296,私,わたくし,"(humble) I,myself"
10,3,4548,私,あ,"I,myself",私,4548,私,あたし,I (fem)
11,2,72,暇,ひ,free time,暇,72,暇,ひま,free time
11,2,6267,暇,い,free time,暇,6267,暇,いとま,"free time, leisure, leave, spare time, farewell"
12,2,74,灰皿,ざ,ashtray (さ),灰皿,74,灰皿,はいざら,ashtray (さ)
12,2,7083,灰皿,さ,ashtray (さ),灰皿,7083,灰皿,はいさら,ashtray (ざ)
13,2,90,万,ま,ten thousand,万,90,万,まん,ten thousand
13,2,4483,万,ば,ten thousand,万,4483,万,ばん,"many, all"
14,2,91,戸,と,Japanese style door,戸,91,戸,と,Japanese style door
14,2,5779,戸,こ,Japanese style door,戸,5779,戸,こ,counter for houses
15,2,94,前,ま,before (せ),前,94,前,まえ,before (せ)
15,2,6381,前,せ,before (せ),前,6381,前,せん,before (ま)
16,3,108,一日,た,first of month,一日,108,一日,ついたち,first of month
16,3,446,一日,に,first of month,一日,446,一日,いちにち,first of the month
16,3,6778,一日,じ,first of month,一日,6778,一日,いちじつ,"1. one day, 2. first of month"
17,2,112,一人,ひ,one person (い),一人,112,一人,ひとり,one person (い)
17,2,4976,一人,い,one person (い),一人,4976,一人,いちにん,one person (ひ)
18,2,116,魚,さ,Fish,魚,116,魚,さかな,Fish
18,2,2216,魚,う,Fish,魚,2216,魚,うお,fish
19,2,124,東,ひ,east,東,124,東,ひがし,east
19,2,4143,東,あ,east,東,4143,東,あずま,"east, Eastern Japan"
20,2,125,中,な,middle,中,125,中,なか,middle
20,2,2427,中,ち,middle,中,2427,中,ちゅう,"inside,middle,among"
21,2,131,行く,ゆ,to go (い),行く,131,行く,ゆく,to go (い)
21,2,462,行く,い,to go (い),行く,462,行く,いく,to go (ゆ)
22,2,139,言う,い,to say (い),言う,139,言う,いう,to say (い)
22,2,2060,言う,ゆ,to say (い),言う,2060,言う,ゆう,to say (ゆ)
23,2,146,空,そ,Sky,空,146,空,そら,Sky
23,2,2207,空,か,Sky,空,2207,空,から,sky
24,2,148,次,つ,next,次,148,次,つぎ,next
24,2,6041,次,し,next,次,6041,次,し,"order, sequence, times, next, below"
25,2,151,人,ひ,person,人,151,人,ひと,person
25,2,4196,人,じ,person,人,4196,人,じん,"man, person, people"
26,2,153,毎年,ね,every year (と),毎年,153,毎年,まいねん,every year (と)
26,2,154,毎年,と,every year (と),毎年,154,毎年,まいとし,every year (ね)
27,2,160,入口,ぐ,entrance,入口,160,入口,いりぐち,entrance
27,2,5793,入口,く,entrance,入口,5793,入口,いりくち,"entrance, gate, approach, mouth"
28,2,166,入る,は,"to enter,to contain",入る,166,入る,はいる,"to enter,to contain"
28,2,5588,入る,いる,"to enter,to contain",入る,5588,入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in"
29,2,171,辛い,か,Spicy,辛い,171,辛い,からい,Spicy
29,2,2111,辛い,つ,Spicy,辛い,2111,辛い,つらい,"painful,heart-breaking"
30,2,172,練習,れんしゅう,to practice,練習,172,練習,れんしゅう,to practice
