RowNumber,Reading
2,げ
3,き
37,か
74,さ
94,せ
112,い
131,い
139,い
153,と
154,ね
175,い
240,お
285,し
297,っ
339,よ
458,おと
461,ん
462,ゆ
548,かねもち
703,き
885,す
887,と
918,く
1009,る
1027,き
1089,だ
1113,ふ
1131,じ
1161,せ
1185,お
1193,え
1194,し
1207,く
1238,ご
1281,が
1330,つ
1335,け
1337,ん
1344,か
1402,かねもち
1403,え
1460,い
1481,す
1491,と
1498,か
1513,っ
1542,か
1552,う
1613,ほ
1617,か
1635,た
1647,し
1650,ゆ
1651,か
1663,じ
1672,し
1687,う
1692,な
1728,と
1744,き
1756,ほんと
1761,げ
1769,え
1787,よ
1800,の
1803,もと
1819,か
1822,う
1831,い
1832,か
1841,き
1844,と
1865,な
1873,ば
1876,め
1878,い
1931,ぶ
2009,ほ
2053,と
2060,ゆ
2131,っ
2140,た
2142,ご
2157,ん
2215,じ
2231,わ
2235,もじ
2238,む
2251,ほ
2254,し
2259,き
2281,の
2316,ね
2328,ひ
2365,す
2366,ぶ
2373,ひ
2386,く
2406,ま
2415,た
2453,あ
2464,ど
2517,ん
2555,な
2575,ほほ
2617,こ
2725,さ
2877,あ
2884,き
2998,お
3005,す
3308,い
3327,け
3446,に
3492,ど
3534,ち
3616,の
3647,も
3730,す
3777,お
4003,とま
4290,ひ
4425,う
4464,ちこ
4498,ら
4540,み
4586,ほ
4605,な
4647,も
4680,こ
4709,し
4848,き
4849,い
4976,ひ
5184,み
5234,つ
5329,ど
5671,ほ
5751,も
5798,ひ
5828,か
5898,こた
6146,し
6205,や
6317,そ
6342,ら
6381,ま
6431,み
6436,が
6725,たえる
7048,き
7083,ざ
7109,て
